,Player,ID,isolationPoss,isolationFreq,transitionPoss,transitionFreq,ball-handlerPoss,ball-handlerFreq,roll-manPoss,roll-manFreq,playtype-post-upPoss,playtype-post-upFreq,spot-upPoss,spot-upFreq,hand-offPoss,hand-offFreq,cutPoss,cutFreq,off-screenPoss,off-screenFreq,putbacksPoss,putbacksFreq,playtype-miscPoss,playtype-miscFreq
120,Elfrid Payton,203901,1.0,7.1,2.1,15.4,4.7,34.8,,,,,2.4,18.0,0.8,5.7,0.7,5.4,0.3,1.9,0.5,4.1,1.0,7.4
121,Nikola Mirotic,202703,0.5,3.9,1.4,11.6,0.3,2.8,0.9,7.6,1.3,11.1,4.4,36.4,0.6,5.3,0.7,5.6,0.6,5.1,0.5,4.6,0.7,6.1
122,Harrison Barnes,203084,1.0,8.7,2.2,19.1,0.5,4.4,0.3,2.9,1.4,12.7,3.3,29.5,0.2,1.3,1.1,9.6,0.5,4.1,0.4,3.6,0.4,3.9
123,Jonas Valanciunas,202685,,,0.5,3.9,,,1.7,14.2,3.3,27.4,0.4,3.2,,,2.5,20.7,,,2.4,20.3,1.0,8.6
124,Ersan Ilyasova,101141,,,1.7,14.5,,,1.6,13.4,0.5,4.4,4.0,33.9,0.2,1.6,0.8,6.7,0.8,6.4,1.5,12.9,0.6,4.9
125,Ricky Rubio,201937,0.5,3.9,2.2,18.5,4.9,40.7,,,,,2.7,22.6,0.5,4.0,0.1,1.1,,,,,0.9,7.3
126,Markieff Morris,202693,1.6,10.9,1.6,11.9,0.3,2.3,2.1,14.2,3.7,24.7,3.2,24.6,,,0.9,6.4,0.7,4.8,0.6,4.5,1.3,8.7
127,Doug McDermott,203926,,,1.5,16.3,0.3,3.6,,,0.3,2.9,2.5,28.1,1.2,14.0,0.9,10.2,1.4,15.7,0.4,4.0,0.3,3.3
128,Raymond Felton,101109,1.1,10.2,1.0,8.6,5.0,45.0,,,,,2.5,22.3,0.3,2.6,0.2,1.8,0.3,2.3,,,0.7,6.6
129,Dion Waiters,203079,1.7,15.2,2.2,19.1,2.9,25.4,,,,,2.8,24.4,0.4,3.6,,,0.8,7.0,0.1,1.1,0.3,2.5
130,Courtney Lee,201584,0.4,4.1,1.5,15.1,1.5,15.7,,,,,2.9,30.0,0.4,4.1,0.4,4.5,1.8,18.4,0.2,2.2,0.5,5.7
131,Hollis Thompson,203138,0.2,1.6,2.0,19.1,0.7,6.6,,,,,4.1,39.7,1.2,11.3,0.5,4.6,0.8,8.2,0.4,4.2,0.4,3.4
132,Matt Barnes,2440,0.3,2.9,2.4,20.7,0.6,5.3,0.4,3.3,0.3,2.3,3.6,31.1,0.4,3.1,1.1,9.3,0.8,7.0,0.7,6.2,1.0,8.6
133,CJ Miles,101139,0.3,2.6,2.4,20.4,0.8,7.1,0.3,2.5,,,3.5,29.1,1.3,10.5,,,2.2,18.7,0.3,2.4,0.6,5.0
134,Blake Griffin,201933,2.1,9.4,2.5,11.1,1.3,5.7,4.7,21.0,4.7,21.3,2.9,13.3,,,1.2,5.4,0.6,2.7,0.8,3.6,1.4,6.2
135,Jerami Grant,203924,1.3,11.9,1.8,16.0,0.3,2.7,1.2,10.5,0.6,5.7,2.8,24.9,0.3,2.8,1.4,12.6,0.3,2.4,0.7,6.0,0.5,4.5
136,Mason Plumlee,203486,0.5,5.4,1.3,12.7,,,2.1,20.8,0.9,8.6,0.4,4.3,,,2.3,23.0,,,1.1,11.4,1.3,12.5
137,Nerlens Noel,203457,1.2,9.3,1.3,10.4,,,2.3,18.4,1.3,10.2,1.1,8.3,,,2.7,21.2,,,1.6,12.8,1.1,8.5
138,Derrick Williams,202682,1.0,10.9,1.9,20.6,0.5,5.1,0.7,7.4,0.9,9.6,2.0,21.0,0.3,2.7,1.0,10.9,0.5,5.0,0.4,3.8,0.3,3.1
139,Kyle Korver,2594,,,1.3,13.9,0.6,6.8,,,,,2.2,24.0,1.2,13.2,0.3,3.5,2.8,31.4,,,0.5,5.8
140,Terrence Ross,203082,0.6,6.0,1.3,13.8,1.1,11.8,,,,,3.3,34.3,0.5,5.5,,,2.3,23.7,,,0.3,2.7
141,Aaron Gordon,203932,0.4,4.1,1.6,17.4,0.5,5.1,0.7,7.0,0.4,4.3,2.3,24.7,0.2,2.5,1.1,12.2,,,1.4,14.6,0.7,7.3
142,Alex Len,203458,0.3,2.5,0.5,4.5,,,1.3,11.3,3.3,29.6,1.0,9.0,,,2.2,19.7,0.2,1.8,1.4,12.7,0.9,8.4
143,Patrick Beverley,201976,0.8,8.0,2.1,20.1,1.9,19.0,0.2,1.9,,,3.7,36.5,0.3,2.6,,,,,0.4,3.4,0.7,6.7
144,Marco Belinelli,201158,,,1.5,13.0,1.5,13.3,,,,,2.3,20.3,1.0,9.3,0.4,3.8,3.8,33.6,,,0.5,4.7
145,Patty Mills,201988,0.2,2.3,1.2,13.6,2.5,28.4,,,,,2.1,24.3,0.7,7.7,0.4,4.9,1.1,12.2,,,0.4,5.1
146,Kelly Olynyk,203482,0.3,2.9,1.4,13.9,,,1.9,19.4,0.7,7.3,2.5,24.9,0.5,5.0,0.7,7.5,0.6,5.7,0.7,6.6,0.6,5.7
147,Eric Gordon,201569,1.0,6.9,2.4,16.2,4.0,26.4,,,,,4.2,27.6,1.0,6.6,0.2,1.5,1.7,11.1,,,0.4,2.8
148,Trey Burke,203504,0.8,6.8,1.4,12.2,4.0,34.7,,,,,2.8,24.1,1.6,13.4,,,0.4,3.3,,,0.5,4.0
149,Cory Joseph,202709,1.1,11.2,0.9,9.4,4.4,46.2,,,,,1.8,19.2,0.3,3.0,,,0.2,2.0,,,0.7,6.8
150,Luis Scola,2449,,,1.3,13.6,,,1.7,18.4,1.4,15.5,2.7,29.4,,,0.7,7.8,,,0.8,8.2,0.5,5.1
151,Ian Mahinmi,101133,0.2,2.3,0.7,7.8,,,1.9,20.9,1.0,10.8,0.7,8.0,,,2.7,29.6,,,0.8,9.1,1.0,10.9
152,P.J. Tucker,200782,0.3,3.2,1.7,18.1,0.6,6.6,0.1,1.6,0.8,8.5,2.7,29.5,0.1,1.6,0.7,7.7,0.2,2.1,1.2,13.3,0.7,7.9
153,Zaza Pachulia,2585,0.5,5.6,0.4,4.1,,,1.7,17.9,0.4,4.2,0.9,9.1,,,3.0,31.4,,,1.4,15.1,1.1,11.6
154,Jordan Hill,201941,0.5,4.9,0.5,4.7,,,1.9,19.8,2.3,24.1,0.7,7.6,,,1.7,17.3,,,1.3,13.1,0.7,7.6
155,Tristan Thompson,202684,,,0.5,7.3,,,1.5,21.0,0.4,5.8,0.2,2.5,,,2.0,28.3,,,1.7,23.5,0.8,11.2
156,Cody Zeller,203469,0.2,2.0,0.9,11.2,,,2.4,28.8,0.2,2.6,1.0,11.7,,,1.6,19.8,0.3,3.8,0.9,10.4,0.7,8.7
157,Jared Dudley,201162,,,1.5,20.4,,,1.0,13.5,,,3.3,43.3,,,0.5,6.7,0.4,5.6,0.2,3.0,0.3,4.1
158,Steven Adams,203500,,,0.5,7.0,,,1.9,24.7,0.6,7.3,,,,,2.2,29.4,,,1.5,19.5,0.9,11.7
159,Eric Bledsoe,202339,2.8,13.1,4.0,18.7,8.1,38.2,,,0.3,1.6,2.6,12.2,0.6,2.7,0.3,1.6,0.9,4.4,,,1.3,6.0
160,Mario Chalmers,201596,0.7,5.8,1.7,15.2,4.5,39.9,,,,,1.9,16.8,0.7,6.0,0.3,2.3,0.3,2.4,0.3,2.3,1.0,9.0
161,Taj Gibson,201959,0.2,1.7,0.4,4.5,,,1.1,12.0,2.1,24.3,0.5,5.8,,,2.3,26.1,,,1.6,18.6,0.6,6.4
162,Langston Galloway,204038,0.4,4.8,1.9,22.0,1.5,17.4,,,,,2.4,28.0,0.7,8.1,0.4,5.0,0.5,6.1,0.2,2.7,0.5,5.8
163,Gerald Henderson,201945,0.8,8.6,1.2,13.1,1.7,18.2,,,0.7,7.8,2.0,22.1,0.7,7.4,0.5,5.3,0.8,8.3,0.2,2.4,0.5,5.7
164,Michael Carter-Williams,203487,1.7,11.8,1.9,13.3,4.7,32.5,,,0.7,4.7,2.1,14.7,0.4,2.4,1.2,8.2,0.2,1.3,0.4,2.9,1.1,7.9
165,Myles Turner,1626167,0.4,4.0,0.8,7.4,,,3.0,27.8,2.4,21.9,0.9,8.3,,,1.5,13.9,0.3,2.5,0.7,6.8,0.8,7.3
166,Nik Stauskas,203917,0.4,4.2,1.7,17.9,1.5,15.5,,,,,3.7,38.9,0.9,9.3,0.2,2.3,0.7,7.0,0.2,1.6,0.3,3.3
167,Gerald Green,101123,0.3,3.3,1.7,17.3,0.7,7.3,,,0.3,2.8,3.4,35.0,1.1,11.8,0.3,3.6,1.1,11.2,0.3,2.8,0.4,4.6
168,Frank Kaminsky,1626163,0.3,3.9,0.5,6.2,,,1.6,20.5,0.9,10.8,2.6,33.0,0.1,1.7,0.8,9.4,0.2,2.9,0.4,4.8,0.5,5.9
169,Austin Rivers,203085,1.3,14.3,1.4,14.4,3.1,33.3,,,,,1.8,19.5,0.6,6.7,0.4,4.8,0.2,2.5,,,0.3,3.0
170,Stanley Johnson,1626169,1.0,9.2,1.9,18.7,2.3,21.7,,,0.5,4.3,2.7,25.7,0.7,6.7,0.2,2.1,0.2,2.4,0.5,4.5,0.4,4.0
171,Corey Brewer,201147,0.2,2.0,2.8,33.0,0.4,4.6,,,,,2.8,32.7,0.6,6.7,0.4,4.9,0.5,6.5,0.2,2.3,0.5,6.1
172,Marcus Thornton,201977,0.5,4.6,2.0,18.4,2.3,21.4,,,,,2.8,26.6,0.7,6.6,0.5,4.4,0.8,7.8,0.4,3.4,0.6,5.8
