,Player,ID,isolationPoss,isolationFreq,transitionPoss,transitionFreq,ball-handlerPoss,ball-handlerFreq,roll-manPoss,roll-manFreq,playtype-post-upPoss,playtype-post-upFreq,spot-upPoss,spot-upFreq,hand-offPoss,hand-offFreq,cutPoss,cutFreq,off-screenPoss,off-screenFreq,putbacksPoss,putbacksFreq,playtype-miscPoss,playtype-miscFreq
173,Wayne Ellington,201961,0.2,2.4,1.3,16.0,1.5,17.8,,,,,2.6,31.9,0.6,7.1,0.3,4.1,1.2,14.8,0.1,1.6,0.3,4.0
174,Garrett Temple,202066,0.2,2.3,2.5,31.7,0.8,9.8,,,,,2.5,32.5,0.2,2.6,0.3,4.2,0.6,7.9,0.2,2.4,0.5,6.3
175,Jeremy Lamb,203087,0.6,6.9,1.1,11.9,2.2,24.3,,,,,1.7,18.8,0.5,5.9,0.7,8.0,1.4,15.9,0.4,4.7,0.3,2.8
176,JaMychal Green,203210,0.3,3.3,0.7,8.7,,,1.2,14.8,1.1,13.9,1.5,18.0,,,1.3,15.9,,,1.5,18.0,0.5,6.6
177,Amir Johnson,101161,0.2,3.1,0.8,10.8,,,1.1,15.6,0.8,10.9,0.7,9.4,,,1.4,19.3,,,1.3,17.4,0.9,12.7
178,Lance Stephenson,202362,4.7,31.0,1.7,11.3,3.3,21.8,,,0.8,5.1,2.3,15.6,0.6,3.8,0.5,3.6,,,0.6,3.8,0.3,4.9
179,Danny Green,201980,0.2,1.8,1.7,21.0,0.4,4.4,,,,,3.6,42.7,0.4,5.0,0.4,4.9,0.9,10.5,0.3,3.0,0.5,6.4
180,Matthew Dellavedova,203521,0.3,3.4,0.8,9.0,4.0,46.7,,,,,2.0,23.2,0.5,6.0,0.1,1.7,0.2,2.0,,,0.5,6.2
181,Jon Leuer,202720,0.7,7.9,0.9,10.6,,,2.0,23.5,0.7,7.5,2.1,23.6,0.2,1.9,0.8,8.9,,,0.7,8.4,0.6,6.3
182,Shane Larkin,203499,0.6,6.2,1.3,14.1,4.2,47.0,,,,,1.1,12.4,0.6,6.3,0.5,5.3,,,,,0.6,6.8
183,Al Jefferson,2744,,,0.2,1.9,,,2.1,16.9,6.5,51.8,0.6,4.8,,,1.7,13.8,,,0.7,5.8,0.3,2.6
184,Marcus Smart,203935,0.5,4.7,1.9,16.8,2.0,18.2,,,0.7,6.1,2.8,25.2,0.7,5.9,0.6,5.0,0.3,2.9,0.8,6.7,0.9,8.1
185,Rudy Gobert,203497,0.2,1.8,0.7,6.6,,,1.7,17.5,0.4,4.0,0.2,2.1,,,2.9,29.2,,,2.3,23.3,1.5,15.3
186,Manu Ginobili,1938,0.6,6.2,1.0,9.8,2.4,23.8,,,,,2.7,27.2,0.8,7.7,0.7,6.8,0.8,7.9,,,0.7,6.8
187,David West,2561,0.2,3.5,0.5,7.1,,,1.4,19.4,1.5,21.0,1.3,17.9,,,1.0,14.8,0.1,2.0,0.4,6.0,0.5,7.1
188,Wesley Johnson,202325,0.1,1.9,1.5,20.7,0.2,2.1,0.4,5.8,,,3.0,41.5,0.6,8.5,0.4,5.5,0.4,6.0,0.2,2.2,0.4,5.3
189,Jason Smith,201160,,,0.4,4.6,,,3.1,40.4,0.2,2.4,2.1,27.0,,,0.5,6.3,0.3,3.7,0.4,4.6,0.8,9.7
190,Jose Calderon,101181,0.2,2.2,0.8,10.2,2.9,38.1,,,,,1.8,23.0,0.6,7.7,0.2,2.9,0.6,7.7,,,0.6,7.5
191,Patrick Patterson,202335,,,0.7,10.3,,,1.0,14.2,0.2,2.4,3.8,52.8,,,0.2,2.6,,,0.6,8.6,0.5,7.0
192,Clint Capela,203991,,,0.9,12.8,,,1.3,18.5,0.3,4.4,,,,,2.1,29.2,,,1.7,23.5,0.6,9.0
193,Jerryd Bayless,201573,0.8,7.2,1.6,15.6,2.2,21.1,,,,,3.1,29.9,0.9,9.0,0.3,2.6,0.9,8.6,,,0.5,4.8
194,Tony Allen,2754,0.4,4.7,2.2,23.6,0.5,5.2,,,0.2,2.5,2.2,23.3,0.3,3.0,1.6,17.3,,,1.0,11.0,0.7,7.3
195,Ben McLemore,203463,0.4,4.5,2.3,26.2,0.7,8.2,,,,,2.4,27.7,0.6,6.3,0.5,6.0,1.2,13.4,0.2,1.8,0.5,5.5
196,Toney Douglas,201962,0.6,6.9,1.6,17.3,3.4,37.2,,,,,1.8,19.5,0.7,7.4,0.3,3.1,,,,,0.5,6.0
197,Kosta Koufos,201585,,,0.5,7.8,,,1.4,21.0,0.9,13.2,,,,,2.3,32.7,,,1.2,17.1,0.4,5.6
198,Darrell Arthur,201589,0.2,2.4,0.7,8.3,,,1.7,20.8,0.7,8.0,2.5,30.1,,,1.0,11.8,0.2,2.6,0.6,7.8,0.6,7.8
199,Ed Davis,202334,,,0.2,3.1,,,1.5,24.9,0.3,4.4,,,,,1.6,27.0,,,1.7,28.4,0.5,9.1
200,Nene,2403,0.6,6.6,0.7,7.5,,,1.6,16.9,3.0,31.0,0.6,6.1,,,2.0,21.3,,,0.3,3.5,0.6,5.9
201,Tim Duncan,1495,,,0.4,4.5,,,2.3,24.2,2.5,25.9,0.5,5.3,,,1.7,18.0,,,0.8,8.2,1.1,11.3
202,Rodney Stuckey,201155,0.6,5.7,2.2,21.6,3.2,31.5,,,,,1.6,16.3,0.9,8.7,0.3,3.3,0.5,4.6,,,0.6,5.5
203,T.J. Warren,203933,0.4,4.2,2.5,23.5,1.1,10.3,,,,,2.4,22.3,0.5,4.4,1.0,9.1,1.2,10.9,1.0,8.9,0.4,4.2
204,Aron Baynes,203382,,,0.3,5.3,,,1.5,22.3,1.1,17.6,0.3,4.5,,,1.2,18.4,,,1.2,18.4,0.7,11.2
205,Kevin Martin,2755,1.5,13.1,1.7,15.4,1.7,15.4,,,0.5,4.1,1.7,14.9,0.6,5.3,0.5,4.6,2.5,22.0,,,0.5,4.4
206,Marreese Speights,201578,0.4,5.1,0.6,7.0,,,1.7,21.8,0.7,8.6,1.5,18.9,,,0.8,10.2,0.8,10.7,0.8,10.7,0.5,6.5
207,Meyers Leonard,203086,,,0.6,6.8,,,2.3,26.4,0.5,5.8,3.1,35.4,,,0.6,7.2,0.2,2.4,0.4,4.1,0.8,9.4
208,Archie Goodwin,203462,0.9,8.3,2.2,21.3,2.7,25.9,,,,,2.1,20.1,0.5,5.1,0.6,5.6,0.2,1.8,0.4,3.3,0.9,8.3
209,Justise Winslow,1626159,0.2,2.5,1.9,24.1,0.6,7.0,,,0.3,3.4,2.4,30.2,0.3,4.3,0.9,12.0,,,0.6,7.5,0.5,6.6
210,Maurice Harkless,203090,0.2,3.7,1.1,16.7,0.4,6.2,0.1,2.1,0.3,4.4,1.9,28.1,0.2,3.5,0.8,12.5,0.3,4.6,0.9,12.9,0.4,5.4
211,T.J. McConnell,204456,0.5,6.9,1.0,13.1,3.5,46.0,,,,,1.0,12.5,0.6,7.4,0.2,2.6,0.2,3.0,0.2,2.1,0.5,6.4
212,Aaron Brooks,201166,0.6,7.1,0.9,10.4,4.7,56.1,,,,,1.0,12.3,0.6,6.8,,,,,,,0.4,5.0
213,Shaun Livingston,2733,0.4,6.9,1.0,15.1,0.8,12.7,,,1.2,19.2,0.6,9.1,0.3,4.0,1.1,17.7,,,0.2,3.6,0.6,9.5
214,Trey Lyles,1626168,0.3,4.1,0.7,9.6,,,1.1,15.8,0.2,2.2,2.9,43.2,,,0.7,10.8,0.1,2.0,0.4,5.8,0.3,4.1
215,Devin Harris,2734,0.3,3.6,1.6,21.1,1.7,22.3,,,,,2.2,28.8,0.4,4.8,0.5,5.8,0.3,3.4,,,0.7,9.1
216,Boris Diaw,2564,0.3,4.5,0.4,6.1,,,0.8,11.4,2.6,38.5,1.3,20.0,,,0.5,8.1,,,0.3,3.7,0.4,5.7
217,Dante Cunningham,201967,,,1.2,18.9,0.2,3.9,0.3,4.5,,,2.7,43.6,0.2,2.8,0.7,11.6,0.1,2.2,0.3,4.5,0.4,5.9
218,Lance Thomas,202498,0.5,6.6,1.1,13.1,0.5,6.0,0.2,2.5,0.4,5.3,3.2,39.0,,,0.7,8.6,0.5,5.7,0.3,3.9,0.6,7.8
219,Roy Hibbert,201579,,,0.2,3.3,,,1.2,17.0,2.0,29.3,0.8,12.1,,,0.8,11.8,,,0.9,12.5,0.8,11.2
220,Thabo Sefolosha,200757,,,1.7,25.9,0.6,9.1,,,,,1.9,29.2,0.3,3.9,0.9,13.7,0.2,3.3,0.3,4.3,0.5,7.2
221,Mario Hezonja,1626209,0.3,4.3,1.1,15.9,1.4,20.4,,,,,1.7,25.6,0.5,7.4,0.2,3.1,0.9,13.9,0.2,2.6,0.4,5.7
222,Norris Cole,202708,0.5,3.8,2.2,16.9,6.2,47.7,,,,,2.1,16.4,0.9,7.0,,,,,,,0.6,5.0
223,Raul Neto,203526,0.4,5.6,1.0,14.0,1.9,27.8,,,,,2.3,33.2,0.7,10.2,0.1,2.2,,,,,0.4,5.2
224,Timofey Mozgov,202389,,,0.4,7.2,,,1.0,16.8,1.1,18.0,0.6,10.0,,,2.0,32.3,,,0.5,8.7,0.4,6.4
225,Randy Foye,200751,0.4,5.9,0.7,9.9,2.7,35.5,,,,,2.3,30.0,0.5,6.4,,,0.3,3.9,,,0.4,4.9
226,Brandon Bass,101138,0.4,6.5,0.8,12.1,,,1.8,27.3,0.7,11.4,0.3,4.9,,,1.2,17.7,,,0.8,12.4,0.4,6.3
227,Tyson Chandler,2199,,,0.4,5.0,,,1.3,18.0,0.6,8.3,0.3,4.1,,,2.0,26.7,,,1.6,21.5,1.1,15.1
228,D.J. Augustin,201571,0.8,6.5,1.6,14.0,5.6,48.9,,,,,1.4,28.0,0.8,6.5,,,,,,,0.8,6.9
229,Joffrey Lauvergne,203530,0.2,3.0,0.6,8.1,,,1.9,24.6,1.1,14.1,1.5,19.1,,,1.0,13.1,,,0.8,9.6,0.6,7.3
230,Mike Scott,203118,,,0.9,15.9,,,1.1,18.8,0.5,8.1,1.7,28.2,,,0.9,15.2,,,0.3,5.6,0.2,3.6
231,Trevor Booker,202344,0.1,1.9,0.8,12.9,,,1.1,16.1,0.2,3.3,1.1,16.9,,,1.2,18.2,,,1.3,19.4,0.7,10.2
232,Willie Cauley-Stein,1626161,0.2,2.9,1.2,18.2,,,1.0,14.2,0.4,5.6,0.3,4.5,,,1.9,28.6,,,1.3,18.9,0.5,6.8
233,Andre Iguodala,2738,0.6,7.9,1.8,23.8,0.6,7.7,,,0.2,2.9,2.0,26.7,0.2,2.3,0.6,8.1,0.4,5.4,0.2,3.3,0.8,10.8
234,Bismack Biyombo,202687,,,0.2,3.4,,,1.1,19.3,0.2,3.6,,,,,1.9,34.0,,,1.3,22.7,0.9,15.4
235,Shelvin Mack,202714,1.0,6.9,2.0,13.5,5.4,35.6,,,,,3.6,23.8,1.8,11.6,,,,,,,0.8,5.5
236,E'Twaun Moore,202734,0.3,3.3,1.4,18.2,1.9,24.8,,,0.2,2.4,2.1,27.7,0.7,9.7,0.4,4.8,,,0.2,2.6,0.4,4.8
237,Bobby Portis,1626171,0.7,8.5,0.8,9.7,,,1.3,16.1,1.3,16.5,1.6,19.4,,,0.5,6.0,,,1.4,16.7,0.5,6.2
238,Terrence Jones,203093,0.5,5.8,1.6,16.7,,,1.1,12.0,0.7,7.9,2.2,23.3,,,1.4,14.8,,,0.8,8.8,0.7,7.9
239,Leandro Barbosa,2571,0.4,5.8,1.8,27.3,1.0,14.4,,,,,1.3,19.3,0.4,5.3,0.2,3.6,1.0,15.6,,,0.4,6.7
240,Lavoy Allen,202730,,,0.5,8.5,,,1.0,17.2,0.5,8.5,0.8,13.6,,,1.3,22.0,,,1.1,19.1,0.5,9.1
241,David Lee,101135,0.5,5.5,0.8,10.1,,,2.2,25.7,1.6,18.6,0.6,7.1,,,1.9,24.9,,,1.4,18.0,0.5,5.5
242,Jerian Grant,1626170,0.7,9.6,1.1,15.7,2.4,35.0,,,,,1.3,19.3,0.3,4.9,0.3,3.8,0.3,4.7,,,0.4,6.0
243,Channing Frye,101112,,,0.4,7.2,,,1.0,20.6,0.7,9.4,3.5,49.7,,,0.3,5.4,0.5,9.9,0.3,5.4,0.5,9.0
244,Donald Sloan,202388,0.5,6.1,1.4,17.6,2.6,32.8,,,,,1.6,20.5,0.4,5.4,0.6,8.2,,,,,0.5,6.9
245,Jason Terry,1891,0.2,3.4,1.2,19.7,0.8,14.0,,,,,2.7,44.2,0.3,5.5,,,0.3,4.3,,,0.4,6.6
246,Paul Pierce,1718,0.6,7.9,1.0,13.6,0.1,2.1,1.2,16.3,0.5,6.4,2.8,39.5,,,,,0.5,6.4,,,0.3,3.9
247,Alec Burks,202692,1.7,11.7,2.2,15.5,4.5,31.5,,,,,3.1,21.4,1.1,7.7,0.5,3.6,,,,,0.6,4.5
248,Jarrett Jack,101127,1.6,10.1,1.7,10.9,6.8,43.9,,,,,2.8,18.4,0.7,4.7,,,0.4,2.8,,,1.1,7.1
249,PJ Hairston,203798,,,1.1,17.3,1.4,16.5,,,,,3.5,52.5,0.4,6.0,,,1.2,13.3,0.3,3.8,,
250,Richard Jefferson,2210,0.2,4.1,0.9,16.4,0.3,6.4,,,,,2.5,47.7,0.4,7.9,0.3,5.4,0.3,4.9,,,0.3,5.1
251,Dwight Powell,203939,,,0.4,6.5,,,1.4,23.4,,,0.8,14.4,,,1.6,26.9,0.6,9.5,0.5,9.2,0.5,8.0
252,John Henson,203089,,,0.4,6.2,,,1.6,21.9,1.0,14.0,0.2,3.4,,,2.1,29.6,,,1.0,14.3,0.7,9.4
253,Vince Carter,1713,0.3,4.9,0.7,9.5,1.1,16.3,,,0.6,8.3,1.9,28.3,0.5,7.8,0.3,4.1,0.6,8.0,0.3,4.9,0.5,6.8
254,Nick Young,201156,0.6,7.0,1.1,14.5,1.3,16.6,,,,,2.3,28.9,0.6,7.2,,,1.4,17.7,,,0.3,3.5
255,Gary Neal,202390,0.6,6.1,1.3,13.8,2.3,24.5,,,,,2.4,25.3,0.9,9.8,,,1.3,14.1,,,0.3,3.5
256,Andrew Nicholson,203094,,,0.5,7.3,,,1.3,18.6,2.2,32.3,1.5,22.3,,,0.3,5.0,0.2,2.6,0.3,5.0,0.4,5.5
257,Anthony Tolliver,201229,,,0.8,14.2,,,0.6,10.8,,,2.9,55.1,,,0.2,3.2,0.4,8.2,,,0.2,4.2
258,Anthony Morrow,201627,0.3,5.0,0.9,16.0,0.2,4.4,,,,,2.5,46.1,0.3,6.4,0.2,3.0,0.6,11.6,,,0.2,4.4
259,Tyreke Evans,201936,3.0,17.4,2.5,14.6,6.6,39.0,,,,,1.9,11.3,1.2,6.8,,,,,0.4,2.3,0.9,5.4
260,Andrew Bogut,101106,,,0.3,5.0,,,0.5,9.7,0.4,6.5,,,,,2.0,36.6,,,1.0,18.8,1.1,19.4
261,JaKarr Sampson,203960,0.3,4.3,1.5,23.4,0.4,5.7,,,,,1.7,26.1,0.6,8.7,1.0,16.1,,,0.4,6.7,0.3,5.4
262,Ty Lawson,201951,0.6,7.9,1.6,21.2,2.5,32.8,,,,,1.9,25.1,0.3,3.7,,,,,,,0.5,6.4
263,Tyler Zeller,203092,,,0.7,10.4,,,2.2,34.5,0.4,6.3,0.6,9.7,,,1.1,16.7,0.2,2.9,0.7,10.7,0.5,8.4
264,Markel Brown,203900,0.2,3.1,1.1,17.2,1.5,23.6,,,,,1.9,28.9,0.3,3.8,0.3,4.5,0.6,8.8,0.2,3.3,0.4,6.4
265,Alexis Ajinca,201582,,,0.3,4.3,,,1.8,27.5,0.6,9.6,1.0,15.1,,,1.2,17.1,0.3,4.5,0.7,10.8,0.6,8.6
266,Carl Landry,201171,0.5,5.4,0.5,5.4,,,1.5,17.3,1.8,20.4,1.4,16.6,,,1.3,15.3,,,1.1,12.1,0.3,3.5
267,Kyle Anderson,203937,0.7,13.6,0.8,15.6,0.5,9.7,,,0.5,9.7,1.4,27.9,0.2,4.9,0.2,4.1,,,0.2,3.6,0.3,6.7
268,Larry Nance Jr.,1626204,0.2,3.9,0.7,11.5,,,0.7,11.5,,,1.2,21.5,,,1.1,19.8,0.2,3.6,0.9,15.1,0.5,8.1
269,Sean Kilpatrick,203930,0.5,3.6,3.0,21.5,2.6,19.2,,,,,4.3,31.1,0.5,3.6,0.9,6.6,1.1,8.3,,,0.5,3.6
270,Kris Humphries,2743,,,0.9,13.3,,,1.8,25.6,,,2.4,34.9,,,1.1,16.8,,,0.6,9.2,0.8,11.7
271,Joe Ingles,204060,0.2,4.4,0.5,10.8,0.7,15.5,,,,,2.0,44.8,0.7,14.6,,,0.1,3.0,,,0.2,4.7
272,Josh Richardson,1626196,0.3,4.8,0.8,12.8,1.5,24.5,,,,,2.5,40.3,0.2,3.9,0.2,3.0,,,,,0.4,6.6
273,Jonas Jerebko,201973,,,0.7,14.2,,,0.6,11.8,0.2,4.8,1.7,36.6,,,0.6,11.8,,,0.3,7.0,0.4,8.3
274,Spencer Hawes,201150,0.2,3.1,0.3,4.8,,,1.2,18.1,0.9,13.7,2.0,28.5,,,0.9,12.7,,,0.5,7.4,0.7,9.9
275,Mo Williams,2590,0.4,4.0,1.3,14.7,4.0,43.2,,,,,1.7,18.4,0.6,6.9,,,0.4,4.3,,,0.6,6.9
276,Tony Snell,203503,0.5,7.1,1.1,16.7,1.1,17.0,,,,,2.1,33.5,0.6,9.9,0.3,3.9,0.2,3.0,0.2,2.7,0.4,5.7
277,Andre Roberson,203460,,,1.3,26.6,,,,,,,1.6,33.8,,,0.9,18.0,,,0.6,12.3,0.3,6.6
278,Brandon Jennings,201943,0.7,8.5,2.0,24.9,2.8,35.9,,,,,2.0,23.6,0.6,7.7,,,,,,,0.5,6.1
279,Josh Smith,2746,1.2,12.6,1.0,13.6,0.9,9.3,1.9,24.8,0.8,9.9,2.5,26.5,,,0.8,10.7,,,0.4,5.0,0.8,9.9
280,Jonathon Simmons,203613,0.5,8.2,1.2,19.4,0.9,15.8,,,,,1.7,28.2,0.4,6.4,0.5,7.9,0.3,4.8,,,0.4,6.4
281,Ronnie Price,101179,0.6,9.6,1.1,17.3,1.3,20.2,,,,,2.0,32.6,0.5,8.0,,,0.2,2.8,,,0.4,6.5
282,Cole Aldrich,202332,,,0.2,4.3,,,2.4,43.3,0.4,6.4,,,,,1.1,21.0,,,0.8,14.0,0.6,10.4
283,Luke Babbitt,202337,0.3,4.5,1.0,13.9,0.5,6.9,,,,,3.1,44.0,0.3,4.8,,,0.8,10.8,0.5,6.6,,
284,Tim Hardaway Jr.,203501,,,1.6,26.9,0.5,8.4,,,,,2.2,35.6,0.5,7.4,,,0.7,12.0,,,0.2,3.9
285,Alonzo Gee,202087,,,1.4,31.1,0.1,3.0,,,,,1.5,32.8,,,0.6,12.7,,,0.4,8.6,0.3,6.8
286,O.J. Mayo,201564,0.4,3.9,1.8,17.8,1.5,15.1,,,0.2,2.4,2.6,26.3,1.1,11.0,0.3,2.9,0.9,8.8,,,1.0,9.5
287,Festus Ezeli,203105,,,0.4,5.6,,,1.1,16.0,1.5,21.3,,,,,2.1,30.2,,,1.1,15.7,0.7,9.6
288,Charlie Villanueva,101111,,,0.7,12.2,,,0.6,10.8,0.4,6.2,2.2,37.7,0.2,3.5,0.2,4.1,0.9,15.2,0.3,4.9,0.2,3.3
289,Miles Plumlee,203101,,,0.3,5.6,,,1.0,20.3,0.6,12.3,,,,,1.5,30.9,,,0.9,17.3,0.5,9.3
290,Tyler Johnson,204020,0.4,5.0,1.0,11.4,2.4,27.8,,,,,2.4,26.8,0.8,9.5,0.3,3.8,0.4,4.4,0.3,3.5,0.7,7.9
291,Iman Shumpert,202697,0.6,7.8,1.1,15.8,1.1,15.3,,,,,3.0,41.5,0.2,3.4,,,0.4,4.9,,,0.5,7.0
292,Kyle O'Quinn,203124,0.4,6.4,0.4,6.4,,,1.1,19.7,1.0,18.3,0.8,14.7,,,0.8,14.2,,,0.6,10.0,0.5,8.6
293,Nemanja Bjelica,202357,0.5,10.1,0.5,9.4,,,0.6,12.4,0.2,4.6,1.7,32.6,,,0.4,7.8,,,0.5,8.8,0.5,10.4
294,Quincy Acy,203112,,,0.6,13.3,,,0.6,14.1,,,1.2,26.7,,,0.8,18.1,,,0.6,13.0,0.4,8.9
295,Thomas Robinson,203080,0.4,6.7,0.5,9.2,,,1.5,26.3,0.3,5.0,0.3,6.0,,,0.7,11.9,,,1.4,24.6,0.5,9.2
296,Brandon Rush,201575,,,1.1,25.4,0.2,3.9,,,,,1.8,42.4,,,0.3,6.8,0.3,7.7,0.1,3.2,0.3,6.1
297,Andrea Bargnani,200745,0.4,5.2,0.3,3.7,,,2.3,33.0,0.3,4.3,2.0,28.7,,,0.6,8.6,0.3,4.9,0.5,6.4,0.3,4.3
298,Amar'e Stoudemire,2405,,,0.2,4.0,,,1.6,27.3,1.1,19.2,0.2,3.7,,,1.1,19.5,0.2,3.7,0.8,14.1,0.3,6.1
299,Jameer Nelson,2749,0.8,7.8,0.9,9.3,4.7,47.0,,,,,2.1,20.7,0.7,7.2,,,,,,,0.4,3.9
300,Seth Curry,203552,0.3,4.6,1.1,17.4,1.8,27.8,,,,,1.7,27.0,0.3,4.6,,,0.7,11.0,,,0.3,4.6
301,Boban Marjanovic,1626246,,,,,,,,,,,,,,,,,,,,,,
302,Sasha Vujacic,2756,,,0.8,14.8,0.6,10.7,,,,,1.9,34.9,0.7,11.8,,,0.9,16.3,,,0.3,6.2
303,James Johnson,201949,1.0,17.3,0.9,15.4,0.4,6.5,,,0.3,5.6,1.7,30.6,,,0.4,6.5,0.2,4.0,0.3,5.2,0.2,4.3
304,Richaun Holmes,1626158,,,0.5,8.4,,,1.2,21.3,0.2,4.2,0.8,14.3,,,1.5,26.2,,,0.8,13.6,0.4,7.3
305,DeMarre Carroll,201960,0.7,5.9,2.7,21.4,1.2,9.3,,,,,4.0,32.5,0.4,3.4,1.0,8.0,1.0,8.0,0.5,4.3,0.7,5.6
306,Cameron Payne,1626166,0.2,3.3,0.8,13.2,2.7,45.6,,,,,1.5,24.9,0.2,3.3,,,,,,,0.3,4.8
307,Noah Vonleh,203943,0.1,2.9,0.3,7.7,,,0.8,18.3,0.3,7.2,1.1,24.9,,,0.5,11.7,,,0.7,16.0,0.4,8.9
308,Norman Powell,1626181,,,1.4,23.8,1.1,19.6,,,,,2.2,37.8,,,0.2,3.5,0.3,5.6,,,,
309,Chase Budinger,201978,,,1.0,19.7,0.4,8.6,,,,,1.3,27.0,0.2,4.5,0.5,10.7,0.8,16.0,0.4,8.6,0.6,16.1
310,Omer Asik,201600,,,,,,,1.0,21.3,,,,,,,1.6,34.8,,,1.1,23.5,0.6,13.9
311,Jusuf Nurkic,203994,,,0.3,3.2,,,2.6,24.5,3.4,31.9,0.3,3.2,,,1.3,11.8,,,1.6,15.3,1.0,9.4
312,Tim Frazier,204025,1.9,13.4,2.5,17.2,6.5,44.8,,,,,1.6,10.8,,,,,,,,,0.6,4.3
313,Dewayne Dedmon,203473,,,0.3,8.3,,,1.1,27.3,0.3,6.2,,,,,1.0,24.4,,,0.8,18.6,0.4,10.7
314,Michael Beasley,201563,2.2,17.5,1.9,15.1,0.7,5.2,1.6,12.4,0.7,5.6,2.5,20.3,,,1.0,8.0,,,0.9,7.2,0.7,5.2
315,Steve Blake,2581,0.2,3.0,0.5,8.5,2.4,41.5,,,,,1.3,23.6,0.4,6.4,,,0.2,3.6,,,0.7,11.8
316,Solomon Hill,203524,0.3,6.5,0.9,21.2,0.2,5.0,0.2,5.0,,,1.3,28.8,,,0.5,10.4,0.2,5.0,0.3,6.9,0.3,6.9
317,Troy Daniels,203584,,,0.5,9.8,0.4,8.4,,,,,1.9,37.2,0.5,10.2,,,1.2,24.2,,,0.3,5.1
318,Justin Holiday,203200,0.4,5.7,1.6,22.4,1.2,16.7,,,,,1.9,27.1,0.7,9.4,,,0.4,5.7,,,0.6,7.8
319,Marcelo Huertas,1626273,0.2,3.1,0.8,13.8,2.9,48.4,,,,,0.7,11.9,0.4,5.9,0.2,3.4,,,,,0.6,9.7
320,Ian Clark,203546,,,,,,,,,,,,,,,,,,,,,,
321,Kelly Oubre Jr.,1626162,,,0.9,21.5,0.4,9.4,,,,,1.3,31.3,0.3,6.8,0.5,11.3,0.2,4.9,0.3,6.4,0.2,5.3
322,Kyle Singler,202713,,,0.7,18.5,,,,,,,1.6,40.2,0.2,5.5,0.5,12.5,,,0.4,8.9,0.3,6.3
323,Luc Mbah a Moute,201601,,,0.7,18.4,,,0.3,7.5,,,1.1,29.7,,,0.9,24.8,,,0.3,8.3,0.2,4.9
324,Donatas Motiejunas,202700,,,0.7,9.5,,,1.4,18.2,1.6,21.9,1.6,21.2,,,1.0,13.1,,,0.5,6.2,0.4,5.8
325,Mike Dunleavy,2399,,,1.1,15.4,0.4,5.7,,,,,2.1,28.1,0.9,11.8,0.8,11.4,1.3,17.1,,,0.4,4.8
326,Tayshaun Prince,2419,,,0.5,13.5,0.3,7.9,0.1,3.8,0.3,7.9,1.5,43.6,,,0.3,8.6,,,,,0.2,5.3
327,Jeff Withey,203481,,,0.3,6.0,,,0.8,18.0,,,0.3,7.8,,,1.6,37.3,,,0.7,17.1,0.5,11.5
328,Rashad Vaughn,1626173,,,0.8,19.6,0.3,7.3,,,,,2.0,46.5,0.2,4.7,,,0.6,13.3,,,,
329,Justin Anderson,1626147,0.2,5.3,0.7,17.6,0.6,14.1,,,,,1.3,32.2,0.3,6.6,0.2,4.4,0.3,7.5,0.2,4.4,0.2,5.7
330,JJ Hickson,201581,,,0.7,8.6,,,2.1,27.6,0.7,9.2,0.7,8.6,,,1.9,24.3,,,0.9,11.8,0.6,7.2
331,Tyler Ennis,203898,0.4,6.9,0.8,15.0,2.2,40.1,,,,,1.1,19.8,0.3,4.9,,,,,,,0.4,7.3
332,Beno Udrih,2757,,,0.6,10.9,2.3,40.1,,,,,1.0,17.3,0.8,13.4,,,,,,,0.3,5.9
333,Brian Roberts,203148,0.5,9.7,0.4,7.6,2.2,46.2,,,,,0.9,17.9,,,,,,,,,,
334,Chris Johnson,203187,,,0.5,15.0,0.3,7.1,,,,,1.7,47.4,0.4,11.5,0.2,5.1,,,,,0.2,6.7
335,Shabazz Napier,203894,0.3,7.2,0.7,14.7,1.9,40.4,,,,,1.2,25.7,0.2,4.9,,,,,,,,
336,Tiago Splitter,201168,,,0.3,5.0,,,0.9,15.9,0.8,13.4,,,,,2.1,38.3,,,0.8,14.9,0.4,7.0
337,Johnny O'Bryant III,203948,,,0.2,6.3,,,0.5,13.3,0.3,7.0,1.0,27.0,,,0.8,20.3,,,0.5,13.7,0.3,6.6
338,Mike Muscala,203488,,,,,,,,,,,,,,,,,,,,,,
339,Kevin Seraphin,202338,0.3,5.4,0.3,5.8,,,0.7,13.6,2.3,43.4,0.4,7.0,,,0.6,10.9,,,0.2,4.7,0.5,8.9
340,Willie Reed,203186,,,,,,,1.1,25.3,0.4,8.6,,,,,1.4,31.0,,,1.0,22.4,,
341,James Anderson,202341,,,1.2,26.5,0.8,16.7,,,,,1.5,32.9,0.4,7.7,,,0.2,4.3,,,,
342,James Jones,2592,,,,,,,,,,,,,,,,,,,,,,
343,John Jenkins,203098,,,1.1,21.2,1.4,26.5,,,,,0.9,16.8,,,,,0.6,11.5,,,,
344,Metta World Peace,1897,0.7,11.4,0.5,8.7,0.6,10.0,,,1.1,17.4,1.8,28.3,0.6,9.1,,,,,0.3,5.5,,
345,JaVale McGee,201580,,,,,,,1.1,22.7,0.4,7.6,0.3,5.8,,,1.5,29.1,,,1.0,19.8,0.4,8.1
346,Glenn Robinson III,203922,,,1.1,26.3,0.4,9.1,,,,,1.1,25.8,0.2,5.4,0.5,12.9,0.4,10.2,,,,
